20,FLAT
20,UP
1,SUMMIT
5,DW
2,FLAT
1,DW
1,UP
20,FLAT
6,UP
1,SUMMIT
22,DW
7,FLAT
2,UP
2,FLAT
2,DW
1,UP
1,FLAT
1,UP
2,DW
10,FLAT
2,UP
2,DW
5,FLAT
2,UP
2,DW
2,FLAT
5,UP
3,FLAT
2,UP
10,FLAT
3,UP
7,FLAT
4,UP
5,FLAT
2,UP
4,FLAT
4,UP
10,DW
4,FLAT
4,UP
2,FLAT
4,UP
2,FLAT
10,UP
4,DW
3,FLAT
3,DW
3,FLAT
4,DW
5,FLAT
3,UP
5,FLAT
10,DW
5,FLAT
3,UP
3,FLAT,
3,UP
1,DW
1,FLAT
3,UP
4,DW
6,FLAT
6,DW
10,FLAT
4,UP
5,FLAT
3,DW
6,UP
10,FLAT
2,DW
10,FLAT
2,UP
10,FLAT
4,DW
4,FLAT
10,UP
500,FLAT
